# standard, standard(binary), sorted, hashed

1 21781 866 855 649 
2 94675 1672 1780 1524
3 195146 2543 2967 1980
4 334666 3427 3632 2586 
5 526338 4293 4505 3282 
6 776702 5165 5526 3990 
7 1069596 6190 6483 4597 
8 1334770 7088 7398 5266  
9 1687609 7983 8306 6207 
10 2085227 8959 9258 6830
