# standard, sorted, hashed

1 802 951 1051
2 2326 2487 2543
3 2506 2950 3096
4 3439 3934 4105
5 4212 4939 5342
6 5173 5877 6288
7 6078 8274 9489
8 6869 8334 10705 
9 8171 9054 10273 
10 9143 9873 11699
